squareMeters,rooms,type,longitude,hasElevator,poiCount,hasSecurity,hasParkingSpace,buildYear,centreDistance,city_encoded
62.42,3.0,1.0,22.53016463,1.0,8.0,0,1,,3.75,491590.74011299433
52.92,2.0,1.0,14.481843,0.0,4.0,0,0,1987.0,5.25,500654.9549763033
62.0,3.0,1.0,20.92751,1.0,0.0,0,0,2023.0,7.01,923794.7879754602
85.0,4.0,1.0,18.01273,1.0,9.0,0,0,,1.39,411446.35302390996
49.0,2.0,3.0,18.6666,1.0,9.0,0,0,2022.0,1.04,737720.9866291344
58.95,4.0,1.0,22.5832,0.0,16.0,0,0,1970.0,1.27,491590.74011299433
76.76,3.0,0.0,21.06594,0.0,7.0,0,0,,10.41,923794.7879754602
52.97,3.0,0.0,18.620749,0.0,7.0,0,0,1978.0,2.31,737720.9866291344
68.0,3.0,3.0,19.4344,1.0,8.0,0,0,,1.4,413154.8083261058
86.3,4.0,1.0,18.0497523,0.0,21.0,0,0,,3.29,411446.35302390996
54.0,2.0,3.0,20.98065,1.0,24.0,0,0,2018.0,2.48,923794.7879754602
105.0,5.0,1.0,18.56293,0.0,14.0,0,0,1994.0,6.03,737720.9866291344
46.72,2.0,1.0,20.97466,1.0,14.0,0,0,1970.0,4.11,923794.7879754602
36.0,2.0,1.0,19.4488937,0.0,16.0,0,0,1960.0,5.51,413154.8083261058
56.56,3.0,0.0,20.93012,0.0,2.0,0,0,2002.0,9.36,923794.7879754602
122.0,4.0,2.0,20.9856,0.0,28.0,0,1,1920.0,2.02,923794.7879754602
65.0,3.0,0.0,18.0257721,1.0,17.0,0,0,2022.0,2.59,411446.35302390996
71.3,4.0,1.0,20.0190498,0.0,10.0,0,0,1975.0,7.02,747427.8625277162
38.0,2.0,2.0,20.0477,0.0,24.0,0,1,,8.17,747427.8625277162
59.3,3.0,1.0,20.98611642,1.0,43.0,0,0,1977.0,2.83,923794.7879754602
31.0,1.0,1.0,21.17580644,0.0,3.0,0,0,1987.0,12.58,923794.7879754602
51.0,2.0,1.0,21.03902,0.0,2.0,1,0,2012.0,10.08,923794.7879754602
93.9,3.0,3.0,20.9945333,1.0,32.0,0,1,1995.0,2.96,923794.7879754602
52.1,2.0,1.0,18.0257721,0.0,17.0,0,0,,2.59,411446.35302390996
50.0,2.0,1.0,20.95852,0.0,11.0,0,0,1960.0,3.1,923794.7879754602
39.2,2.0,0.0,19.0209,0.0,11.0,0,0,,1.57,442685.6430594901
47.54,2.0,2.0,21.0038508,1.0,59.0,0,0,1956.0,0.31,923794.7879754602
53.0,3.0,1.0,18.0339,0.0,17.0,0,0,,2.7,411446.35302390996
32.0,2.0,1.0,19.92565,1.0,14.0,0,0,1979.0,3.31,747427.8625277162
92.3,4.0,1.0,21.0694,1.0,30.0,0,1,1974.0,4.49,923794.7879754602
64.26,3.0,1.0,18.59812,1.0,2.0,0,0,2013.0,5.96,737720.9866291344
83.0,4.0,0.0,18.56896,0.0,9.0,0,0,,8.51,737720.9866291344
62.45,3.0,1.0,18.5849955,1.0,23.0,0,0,1980.0,4.57,737720.9866291344
45.0,2.0,1.0,19.4377,0.0,14.0,0,0,1970.0,1.8,413154.8083261058
100.2,4.0,1.0,21.0715,1.0,30.0,0,1,2000.0,12.3,923794.7879754602
36.0,2.0,0.0,19.02396,1.0,82.0,0,0,,0.57,442685.6430594901
67.0,3.0,3.0,18.5733,1.0,0.0,0,1,2017.0,5.51,737720.9866291344
47.15,2.0,3.0,18.65587,1.0,77.0,0,0,2020.0,0.41,737720.9866291344
40.4,2.0,1.0,18.45639,0.0,0.0,0,0,2003.0,8.29,657043.248427673
88.0,3.0,2.0,18.0079,0.0,54.0,0,1,,0.65,411446.35302390996
62.95,3.0,2.0,17.0316,0.0,10.0,0,1,1920.0,1.99,663522.8989361703
127.0,5.0,2.0,18.61224,0.0,58.0,0,0,1900.0,4.39,737720.9866291344
45.9,2.0,1.0,18.58191,0.0,4.0,0,0,2005.0,5.89,737720.9866291344
80.0,4.0,1.0,21.22945,0.0,7.0,1,0,1993.0,15.43,923794.7879754602
35.5,2.0,2.0,19.1397401,0.0,5.0,0,0,,2.66,312877.4539007092
74.4,3.0,1.0,18.4846,0.0,2.0,0,0,2004.0,7.19,657043.248427673
62.0,2.0,2.0,19.944778,0.0,131.0,0,0,,0.84,747427.8625277162
81.6,4.0,0.0,18.5997,0.0,1.0,0,0,2004.0,3.6,737720.9866291344
31.78,1.0,1.0,19.484724319569,0.0,9.0,0,1,1970.0,4.09,413154.8083261058
39.0,2.0,1.0,17.1318533,0.0,14.0,0,0,1980.0,8.08,663522.8989361703
65.0,3.0,1.0,21.1045964707824,0.0,15.0,0,0,1988.0,6.91,923794.7879754602
49.5,3.0,2.0,20.93934059,0.0,5.0,0,1,1910.0,13.84,923794.7879754602
56.37,3.0,1.0,20.95237364,1.0,18.0,0,1,2023.0,11.45,923794.7879754602
70.0,2.0,2.0,18.598963,0.0,31.0,0,0,1896.0,5.12,737720.9866291344
46.0,2.0,1.0,16.99914107,0.0,7.0,0,0,1971.0,2.9,663522.8989361703
47.1,2.0,1.0,16.9622172,1.0,8.0,0,1,1986.0,5.06,663522.8989361703
34.9,2.0,1.0,18.00798655,0.0,58.0,0,0,1964.0,0.5,411446.35302390996
82.45,4.0,2.0,21.01682,1.0,59.0,0,0,,1.72,923794.7879754602
37.3,2.0,0.0,18.0467,0.0,14.0,0,0,1970.0,3.3,411446.35302390996
77.02,4.0,1.0,21.04937623,1.0,7.0,0,1,2021.0,10.26,923794.7879754602
135.1,6.0,3.0,21.08437,1.0,45.0,0,0,2006.0,5.57,923794.7879754602
113.0,6.0,2.0,20.0696,1.0,0.0,0,0,1935.0,9.37,747427.8625277162
58.0,2.0,0.0,17.005096,0.0,23.0,0,0,1990.0,2.15,663522.8989361703
49.77,2.0,1.0,20.026778,0.0,16.0,0,0,1958.0,6.8,747427.8625277162
40.89,2.0,0.0,18.6466384,1.0,90.0,0,0,2021.0,0.58,737720.9866291344
38.24,2.0,1.0,21.04057,1.0,21.0,0,0,1965.0,2.61,923794.7879754602
47.4,3.0,1.0,18.57925,1.0,15.0,0,0,1970.0,9.01,737720.9866291344
56.0,2.0,1.0,18.011785,1.0,2.0,0,1,2015.0,2.56,411446.35302390996
68.51,3.0,0.0,20.02878,0.0,1.0,0,0,2020.0,7.83,747427.8625277162
69.0,3.0,1.0,20.00838,1.0,20.0,0,0,1980.0,5.57,747427.8625277162
